Reporter Identifier	VALUE
EDNRA-Yu-S	4809.454333
GI_10938013-S	14461.62567
GI_33457353-S	1291.694
GI_4507456-S	3432.530667
GI_5174574-S	15331.38767
sarroybu-S	2183.051667
1557685_at-S	756.9383333
1560225_at-S	832.2213333
1561073_at-S	5424.621667
213310_at-S	2391.825333
214174_s_at-S	450.29
214384_s_at-S	1946.234
216584_at-S	2622.9605
225311_at-S	6107.118667
228178_s_at-S	649.0663333
228687_at-S	467.58
228798_x_at-S	641.6735
229455_at-S	3328.558667
231181_at-S	655.911
231651_at-S	705.1733333
233424_at-S	481.8573333
235196_at-S	6327.367667
236338_at-S	7696.984333
236472_at-S	3767.782
240093_x_at-S	1390.4345
240236_at-S	1030.177667
240543_at-S	2566.146333
241944_x_at-S	2536.103
242763_at-S	616.942
243636_s_at-S	3412.935667
244579_at-S	3156.471333
AA621488-Yu-S	1938.997667
AF119310-S	518.436
AFF4-Yu-S	7391.436
AI015000-Yu-S	572.8543333
AI017592-Yu-S	425.4986667
AI288607-Yu-S	739.9196667
AI431618-Yu-S	8627.402667
AI767512-Yu-S	536.5376667
AI791860-S	13121.796
AI821573-Yu-S	584.0676667
ANK3-Glinsky-S	7853.713333
AW014022-S	1978.522333
AW572379-S	1371.415
BE144297-S	700.3566667
BENE-Singh-S	8244.83
BUB1-Glinsky-S	835.4793333
BX096646-Yu-S	2683.247667
C2orf33-Yu-S	3774.378667
CCNB1-Glinsky-S	1227.198333
CD4-Yu-S	2511.197667
CDS2-Glinsky-S	3231.13
CHAF1A-Glinsky-S	5786.142333
CHGA-Singh-S	4983.688667
COL1A2-Singh-S	15903.18533
COMMD5-S	777.738
CV364590-S	431.9105
DNAJB1-Yu-S	8848.378333
EDG7.a-S	3347.211
ERG_SV-S	1648.596333
ETV4_X-S	710.7283333
FGFR2-Glinsky-S	5975.794
FLJ12193-S	879.978
FLJ36036-S	477.6323333
FOS-Glinsky-S	24754.81833
GBL-Yu-S	1635.768333
GBX2-Glinsky-S	389.7383333
GDEP-S	19419.36767
GI_10346134-S	3495.107
GI_10518500-S	705.0673333
GI_10835012-S	790.4703333
GI_11056009-S	439.7893333
GI_11496986-S	9013.658
GI_11612673-A	6500.856333
GI_12232472-S	4216.902
GI_12751492-S	1250.655333
GI_13124878-A	27098.348
GI_13259521-A	6475.835333
GI_13376207-S	1892.658
GI_13376700-S	7592.024333
GI_13514821-A	5787.847333
GI_13569888-S	3607.974333
GI_13699817-S	1122.7325
GI_13876385-S	3768.440667
GI_13904863-S	1467.901333
GI_13994357-S	1040.788333
GI_14150117-S	4846.361
GI_14249567-S	2926.937333
GI_14589853-A	6420.287667
GI_14589875-A	2775.069667
GI_14602458-S	22604.11233
GI_14916436-S	15633.47767
GI_15022798-S	2170.957
GI_15147331-S	3926.703333
GI_16554596-A	4750.451333
GI_17158040-A	3597.854667
GI_17318577-S	6868.698667
GI_17402908-A	2042.850333
GI_17978511-A	4459.744333
GI_17981703-S	1335.554333
GI_18034691-A	3730.824667
GI_18087810-S	1898.820333
GI_18087824-S	408.9483333
GI_18375500-A	7275.447333
GI_18375636-A	2913.465
GI_18426896-A	25745.14233
GI_18490999-A	1144.914667
GI_18860908-S	1464.301333
GI_18860911-A	3636.609667
GI_19718752-S	2018.5
GI_19743807-S	4745.745
GI_19743913-A	3614.069
GI_19747284-S	6039.073667
GI_19923214-S	7042.087333
GI_19923273-A	4016.512667
GI_19923288-S	1061.028
