Reporter Identifier	VALUE
EDNRA-Yu-S	3602.127
GI_10938013-S	19014.42233
GI_33457353-S	1562.972
GI_4507456-S	4668.374667
GI_5174574-S	16678.15233
sarroybu-S	1595.406
1557685_at-S	657.2303333
1560225_at-S	587.754
1561073_at-S	6061.417667
213310_at-S	2051.535333
214174_s_at-S	435.727
214384_s_at-S	1658.487667
216584_at-S	3280.6515
225311_at-S	5736.335
228178_s_at-S	597.214
228687_at-S	487.27
228798_x_at-S	1228.9025
229455_at-S	3809.312667
231181_at-S	874.9315
231651_at-S	935.1826667
233424_at-S	465.2123333
235196_at-S	6025.914667
236338_at-S	7518.786333
236472_at-S	4396.833667
240093_x_at-S	1978.8405
240236_at-S	719.046
240543_at-S	2855.081667
241944_x_at-S	2440.708667
242763_at-S	695.1686667
243636_s_at-S	3797.719667
244579_at-S	3682.557667
AA621488-Yu-S	2426.624
AF119310-S	448.855
AFF4-Yu-S	9081.698333
AI015000-Yu-S	608.0396667
AI017592-Yu-S	447.815
AI288607-Yu-S	693.706
AI431618-Yu-S	9676.475333
AI767512-Yu-S	546.3183333
AI791860-S	10484.73467
AI821573-Yu-S	670.186
ANK3-Glinsky-S	8539.470667
AW014022-S	1740.118667
AW572379-S	1829.975667
BE144297-S	614.6966667
BENE-Singh-S	4095.857667
BUB1-Glinsky-S	1079.278
BX096646-Yu-S	2457.048333
C2orf33-Yu-S	4011.907667
CCNB1-Glinsky-S	1352.852667
CD4-Yu-S	2937.721333
CDS2-Glinsky-S	2432.542333
CHAF1A-Glinsky-S	4843.054667
CHGA-Singh-S	2098.942667
COL1A2-Singh-S	11845.92733
COMMD5-S	737.965
CV364590-S	454.821
DNAJB1-Yu-S	10044.78267
EDG7.a-S	7089.407667
ERG_SV-S	1685.370333
ETV4_X-S	523.4943333
FGFR2-Glinsky-S	4654.537333
FLJ12193-S	1442.231667
FLJ36036-S	397.65
FOS-Glinsky-S	30013.00867
GBL-Yu-S	1735.169
GBX2-Glinsky-S	401.631
GDEP-S	10620.11133
GI_10346134-S	3109.317667
GI_10518500-S	3071.685
GI_10835012-S	941.2066667
GI_11056009-S	426.1533333
GI_11496986-S	8407.592333
GI_11612673-A	9167.649333
GI_12232472-S	4148.970333
GI_12751492-S	1565.408333
GI_13124878-A	25442.987
GI_13259521-A	6617.847667
GI_13376207-S	2658.926667
GI_13376700-S	6090.262333
GI_13514821-A	6004.977
GI_13569888-S	3666.127667
GI_13699817-S	1022.808
GI_13876385-S	2182.124333
GI_13904863-S	1825.779333
GI_13994357-S	1571.098333
GI_14150117-S	6627.482
GI_14249567-S	3395.432
GI_14589853-A	13134.109
GI_14589875-A	3645.485
GI_14602458-S	26255.61033
GI_14916436-S	16738.14533
GI_15022798-S	2948.332333
GI_15147331-S	5273.559
GI_16554596-A	6366.328667
GI_17158040-A	3504.419
GI_17318577-S	6851.619667
GI_17402908-A	2615.158333
GI_17978511-A	5061.022333
GI_17981703-S	1447.485333
GI_18034691-A	3225.993333
GI_18087810-S	2062.077667
GI_18087824-S	383.757
GI_18375500-A	9637.472
GI_18375636-A	2637.787667
GI_18426896-A	25737.66667
GI_18490999-A	723.176
GI_18860908-S	1766.682333
GI_18860911-A	2833.65
GI_19718752-S	2147.129333
GI_19743807-S	3687.527667
GI_19743913-A	4931.526667
GI_19747284-S	8463.707
GI_19923214-S	5959.747333
GI_19923273-A	4148.771
GI_19923288-S	1149.650333
GI_19923318-S	1342.636667
GI_19923351-S	18123.58733
GI_19923725-S	6047.873667
GI_20070229-S	3218.459
GI_20070271-S	10713.15967
GI_20143931-S	6652.343
GI_20149638-S	1684.291667
GI_20302157-A	28905.36367
GI_20357509-A	2506.429667
GI_20357526-S	10321.4
GI_20357564-S	16090.83833
GI_20357590-S	3009.857333
GI_21237801-S	11393.35833
GI_21264603-S	1614.894667
GI_21314674-S	2968.474333
GI_21361681-S	16700.93733
GI_21361690-S	14548.151
GI_21361703-S	2418.531
GI_21361830-S	5562.258
GI_21361852-S	2460.268
GI_21389474-S	5258.025667
GI_21389524-S	2150.361667
GI_21389576-S	1563.177667
GI_21536368-A	1762.518
GI_21536420-A	623.29
GI_21536453-S	6502.903667
GI_21717806-S	1132.047667
GI_21735624-A	12243.55
GI_21956644-S	6668.707333
GI_22027487-S	9305.13
GI_22095338-S	2014.786
GI_22212932-A	6728.324
GI_22538477-A	2716.395667
GI_22547111-S	1073.705
GI_22547122-S	1294.603667
GI_22547142-A	7677.881333
GI_23199988-S	4189.790333
GI_23238206-S	2870.816
GI_23510382-A	3684.566333
GI_23510426-A	2842.206333
GI_24041025-S	2026.545
GI_24234714-S	23914.764
GI_24430189-S	8297.044
GI_24432041-S	3373.715
GI_24497542-A	3791.018
GI_24497617-S	2811.988
GI_24497622-S	5220.668667
GI_24797084-S	10062.19333
GI_24797096-A	3079.94
GI_25092600-S	9472.564333
GI_25777723-A	2033.992
GI_27262625-A	2080.735333
GI_27502380-A	7631.203667
GI_27734806-S	5465.099667
GI_27735148-S	2780.621667
GI_27764881-S	4737.563
GI_27765097-A	2545.360667
GI_27894345-A	19402.42967
GI_28274700-S	6046.706333
GI_28373079-S	1885.345667
GI_28875783-S	609.4703333
GI_28875796-S	5238.590667
GI_29171733-S	4785.653
GI_29550837-A	19461.10633
GI_29570779-S	5873.345667
GI_29789372-S	8138.931333
GI_30023852-S	2460.095667
GI_30089963-S	1022.272
GI_30089965-S	4010.134667
GI_30795246-S	2658.352333
GI_31317227-S	4330.309667
GI_31317248-A	915.117
