Reporter Identifier	VALUE
EDNRA-Yu-S	4265.540667
GI_10938013-S	18062.80667
GI_33457353-S	2684.613
GI_4507456-S	4460.973333
GI_5174574-S	13805.05
sarroybu-S	1331.177333
1557685_at-S	972.146
1560225_at-S	877.874
1561073_at-S	6472.979333
213310_at-S	3855.713667
214174_s_at-S	545.425
214384_s_at-S	2707.042
216584_at-S	3343.0115
225311_at-S	9632.960333
228178_s_at-S	626.2526667
228687_at-S	542.836
228798_x_at-S	567.541
229455_at-S	3141.280333
231181_at-S	904.413
231651_at-S	746.8936667
233424_at-S	545.9953333
235196_at-S	7038.853667
236338_at-S	4348.184333
236472_at-S	5216.929
240093_x_at-S	1812.4725
240236_at-S	613.4096667
240543_at-S	2805.331
241944_x_at-S	2402.842667
242763_at-S	774.321
243636_s_at-S	4155.696
244579_at-S	4063.154667
AA621488-Yu-S	3429.131667
AF119310-S	613.5645
AFF4-Yu-S	7559.742333
AI015000-Yu-S	682.9676667
AI017592-Yu-S	379.7943333
AI288607-Yu-S	772.3466667
AI431618-Yu-S	12651.26467
AI767512-Yu-S	682.259
AI791860-S	7884.491667
AI821573-Yu-S	1899.290667
ANK3-Glinsky-S	12595.42867
AW014022-S	2358.412333
AW572379-S	1195.465333
BE144297-S	802.5526667
BENE-Singh-S	8383.241333
BUB1-Glinsky-S	3301.287
BX096646-Yu-S	2147.337
C2orf33-Yu-S	4169.117667
CCNB1-Glinsky-S	4784.773667
CD4-Yu-S	3195.006667
CDS2-Glinsky-S	2476.061
CHAF1A-Glinsky-S	7614.907
CHGA-Singh-S	9917.158333
COL1A2-Singh-S	22113.18367
COMMD5-S	889.328
CV364590-S	482.9075
DNAJB1-Yu-S	9654.766333
EDG7.a-S	5119.262333
ERG_SV-S	1793.286667
ETV4_X-S	650.6943333
FGFR2-Glinsky-S	1634.302333
FLJ12193-S	1091.009333
FLJ36036-S	599.8136667
FOS-Glinsky-S	24249.562
GBL-Yu-S	2686.43
GBX2-Glinsky-S	393.9743333
GDEP-S	909.9073333
GI_10346134-S	2018.550333
GI_10518500-S	1090.364
GI_10835012-S	524.4126667
GI_11056009-S	397.4653333
GI_11496986-S	8433.447333
GI_11612673-A	6716.996
GI_12232472-S	4092.387333
GI_12751492-S	2143.790333
GI_13124878-A	19786.764
GI_13259521-A	8197.955667
GI_13376207-S	2976.725667
GI_13376700-S	7624.027333
GI_13514821-A	8361.134333
GI_13569888-S	4364.798333
GI_13699817-S	1368.717
GI_13876385-S	2289.433333
GI_13904863-S	1527.318333
GI_13994357-S	3309.216667
GI_14150117-S	7663.779333
GI_14249567-S	4482.467667
GI_14589853-A	6686.797
GI_14589875-A	3164.891667
GI_14602458-S	22740.69667
GI_14916436-S	17467.63033
GI_15022798-S	4780.891
GI_15147331-S	2310.630333
GI_16554596-A	4171.535
GI_17158040-A	5254.719
GI_17318577-S	3364.210333
GI_17402908-A	1377.380333
GI_17978511-A	6261.645333
GI_17981703-S	3796.152
GI_18034691-A	4425.034667
GI_18087810-S	2486.135667
GI_18087824-S	508.3386667
GI_18375500-A	10645.55833
GI_18375636-A	4082.82
GI_18426896-A	27369.68267
GI_18490999-A	1151.724
GI_18860908-S	1505.403333
GI_18860911-A	2790.909333
GI_19718752-S	2520.087667
GI_19743807-S	2724.350333
GI_19743913-A	1568.953333
GI_19747284-S	4549.288667
GI_19923214-S	6051.085333
GI_19923273-A	647.905
GI_19923288-S	1168.644
GI_19923318-S	1663.510667
GI_19923351-S	20135.62
GI_19923725-S	3910.562
GI_20070229-S	2211.451
GI_20070271-S	10553.335
GI_20143931-S	776.341
GI_20149638-S	1728.755
GI_20302157-A	30157.21233
GI_20357509-A	4481.158
GI_20357526-S	14318.98233
GI_20357564-S	11633.20933
GI_20357590-S	3264.182667
GI_21237801-S	14300.857
GI_21264603-S	2333.011667
GI_21314674-S	3043.452333
GI_21361681-S	19429.14567
GI_21361690-S	19375.94233
GI_21361703-S	3436.544667
GI_21361830-S	7589.283
GI_21361852-S	3744.099
GI_21389474-S	6469.005667
GI_21389524-S	1860.623333
GI_21389576-S	1756.793
GI_21536368-A	1488.275
GI_21536420-A	869.7503333
GI_21536453-S	8302.404333
GI_21717806-S	2892.735667
GI_21735624-A	17748.05067
GI_21956644-S	8158.849333
GI_22027487-S	9657.672
GI_22095338-S	3843.723333
GI_22212932-A	7900.058333
GI_22538477-A	1761.25
GI_22547111-S	722.7143333
GI_22547122-S	1377.24
GI_22547142-A	6917.392
GI_23199988-S	5765.76
GI_23238206-S	2187.972333
