Reporter Identifier	VALUE
EDNRA-Yu-S	3874.689
GI_10938013-S	13774.99967
GI_33457353-S	2102.36
GI_4507456-S	3781.741667
GI_5174574-S	12104.159
sarroybu-S	2599.371667
1557685_at-S	679.2063333
1560225_at-S	1301.833333
1561073_at-S	6074.844333
213310_at-S	2956.32
214174_s_at-S	584.556
214384_s_at-S	1778.616333
216584_at-S	3248.977
225311_at-S	6084.088333
228178_s_at-S	548.7653333
228687_at-S	461.666
228798_x_at-S	1237.0045
229455_at-S	2581.981
231181_at-S	706.73
231651_at-S	1060.958
233424_at-S	654.829
235196_at-S	6607.817
236338_at-S	2691.657333
236472_at-S	4641.806
240093_x_at-S	1084.5425
240236_at-S	644.8726667
240543_at-S	3294.598667
241944_x_at-S	3289.151667
242763_at-S	730.049
243636_s_at-S	4205.645
244579_at-S	4155.127333
AA621488-Yu-S	2459.491
AF119310-S	1125.679
AFF4-Yu-S	8590.610667
AI015000-Yu-S	483.231
AI017592-Yu-S	479.4743333
AI288607-Yu-S	693.9316667
AI431618-Yu-S	8636.065
AI767512-Yu-S	523.732
AI791860-S	13169.80533
AI821573-Yu-S	1200.987
ANK3-Glinsky-S	7742.231667
AW014022-S	825.5176667
AW572379-S	2315.535333
BE144297-S	954.712
BENE-Singh-S	4433.245
BUB1-Glinsky-S	658.5996667
BX096646-Yu-S	3468.422
C2orf33-Yu-S	3292.151
CCNB1-Glinsky-S	867.4636667
CD4-Yu-S	3345.911667
CDS2-Glinsky-S	2553.853
CHAF1A-Glinsky-S	4780.846
CHGA-Singh-S	2000.407
COL1A2-Singh-S	11924.51767
COMMD5-S	785.956
CV364590-S	412.8385
DNAJB1-Yu-S	5944.431333
EDG7.a-S	3080.332333
ERG_SV-S	18436.22733
ETV4_X-S	733.1963333
FGFR2-Glinsky-S	4242.577333
FLJ12193-S	1558.319
FLJ36036-S	500.699
FOS-Glinsky-S	23742.67767
GBL-Yu-S	2864.488333
GBX2-Glinsky-S	395.335
GDEP-S	6114.875
GI_10346134-S	3905.329333
GI_10518500-S	5791.880333
GI_10835012-S	1284.071
GI_11056009-S	393.634
GI_11496986-S	8431.896667
GI_11612673-A	7875.764667
GI_12232472-S	4099.724667
GI_12751492-S	1863.523667
GI_13124878-A	25123.67167
GI_13259521-A	10106.235
GI_13376207-S	3032.166667
GI_13376700-S	4515.940333
GI_13514821-A	6755.918
GI_13569888-S	3887.587333
GI_13699817-S	1043.14
GI_13876385-S	2303.298333
GI_13904863-S	1532.71
GI_13994357-S	977.666
GI_14150117-S	6377.238
GI_14249567-S	2811.964333
GI_14589853-A	10969.50233
GI_14589875-A	3832.718333
GI_14602458-S	17898.049
GI_14916436-S	11887.11233
GI_15022798-S	2636.790333
GI_15147331-S	3690.963
GI_16554596-A	6511.833667
GI_17158040-A	10938.88867
GI_17318577-S	3954.629
GI_17402908-A	2912.806667
GI_17978511-A	4706.939
GI_17981703-S	940.3333333
GI_18034691-A	3625.680333
GI_18087810-S	1559.207667
GI_18087824-S	502.457
GI_18375500-A	12962.37867
GI_18375636-A	3430.992667
GI_18426896-A	24437.815
GI_18490999-A	1263.518667
GI_18860908-S	1809.22
GI_18860911-A	3695.165333
GI_19718752-S	2605.301
GI_19743807-S	3529.932
GI_19743913-A	5850.114333
GI_19747284-S	9898.297
GI_19923214-S	6692.444
GI_19923273-A	2805.629
GI_19923288-S	1800.3
GI_19923318-S	1428.669
GI_19923351-S	15311.721
GI_19923725-S	6070.607333
GI_20070229-S	2270.338333
GI_20070271-S	9124.291667
GI_20143931-S	584.369
GI_20149638-S	1802.623667
GI_20302157-A	25643.618
GI_20357509-A	2310.794
GI_20357526-S	9882.851333
GI_20357564-S	17125.06533
GI_20357590-S	1676.840667
GI_21237801-S	9490.327667
GI_21264603-S	1965.472333
GI_21314674-S	2528.475333
GI_21361681-S	13668.67367
GI_21361690-S	10376.38533
GI_21361703-S	2276.332
GI_21361830-S	4407.127667
GI_21361852-S	3719.420333
GI_21389474-S	4887.659
GI_21389524-S	2203.658333
GI_21389576-S	2060.700667
GI_21536368-A	2480.228667
GI_21536420-A	768.4956667
GI_21536453-S	7745.962333
GI_21717806-S	1165.443333
GI_21735624-A	9799.067
GI_21956644-S	5541.616667
GI_22027487-S	7793.4085
GI_22095338-S	1644.910667
GI_22212932-A	5121.857333
GI_22538477-A	2942.045667
GI_22547111-S	1874.01
GI_22547122-S	1051.425333
GI_22547142-A	8971.517333
GI_23199988-S	10735.31733
GI_23238206-S	2630.276333
GI_23510382-A	2135.157667
GI_23510426-A	2698.258333
GI_24041025-S	2887.848333
GI_24234714-S	19676.73
GI_24430189-S	5377.826667
GI_24432041-S	1537.530333
GI_24497542-A	7498.208
GI_24497617-S	2031.218333
GI_24497622-S	5099.078
GI_24797084-S	10032.05533
GI_24797096-A	2866.655667
GI_25092600-S	4240.485667
GI_25777723-A	2050.877333
GI_27262625-A	1890.688667
GI_27502380-A	8036.493333
GI_27734806-S	2936.479333
GI_27735148-S	2750.312333
GI_27764881-S	1719.346
GI_27765097-A	2612.081
GI_27894345-A	11374.41867
GI_28274700-S	4921.78
GI_28373079-S	2450.556667
GI_28875783-S	648.2303333
GI_28875796-S	7015.314
GI_29171733-S	4435.216667
GI_29550837-A	21709.977
GI_29570779-S	5915.298667
GI_29789372-S	6909.348
GI_30023852-S	2430.750333
GI_30089963-S	1144.445
GI_30089965-S	4688.954
GI_30795246-S	3157.075667
GI_31317227-S	2401.158
GI_31317248-A	905.5053333
GI_31542689-S	4876.208333
GI_31542782-S	2470.443333
GI_31542866-S	8336.785667
GI_31543061-S	3533.614333
GI_31543092-S	5154.054
GI_31543141-S	706.6886667
GI_31543409-S	4879.493333
GI_31543629-S	1461.628667
GI_31742480-A	15650.571
GI_32401423-S	10009.922
GI_32483415-S	1671.098
GI_32698699-S	1801.548333
GI_33469967-A	6966.851667
GI_33519445-A	10377.47567
GI_33598925-S	9767.172
GI_33620748-S	3553.736
GI_33695154-A	5652.532667
GI_34147546-S	2200.946667
GI_34147602-S	3373.065333
GI_34147623-S	11969.383
GI_34147678-S	3774.566333
GI_34147690-S	875.2383333
GI_34147722-S	1822.084667
GI_34222118-S	1362.380333
GI_34222227-S	1303.163333
GI_34222261-S	14246.91833
GI_34222336-S	2370.899333
GI_34222364-S	5585.322
GI_34304351-S	17915.46167
GI_34328934-S	2859.953667
GI_34734061-A	10392.371
GI_35038527-S	4857.885
GI_35038563-S	1927.730333
GI_37537703-A	2037.782667
GI_37577125-A	1934.398333
GI_37655182-S	23483.83767
GI_37675281-S	3447.133
GI_37704380-S	23477.62233
GI_38027922-S	2768.485333
GI_38045935-S	527.2203333
GI_38157985-A	4519.646333
GI_38201689-S	2232.039333
GI_38202206-S	3506.382333
GI_38202210-S	6636.164
GI_38202220-A	1533.851667
GI_38257140-S	7965.667667
GI_38327565-A	908.7356667
GI_38372939-S	19648.1
GI_38454325-S	2910.907333
GI_38505179-I	1920.950667
GI_38569481-S	15204.951
GI_38679896-S	2172.339
GI_38679966-A	10281.72067
GI_38788154-A	586.281
GI_38788307-S	1238.555333
GI_39653320-A	9198.564667
GI_39725673-S	10889.50067
GI_39725694-S	3512.6845
GI_39777596-A	9841.694
GI_39812446-S	1861.001333
GI_40217807-S	14172.69533
GI_40217844-S	5868.113
GI_40254430-S	1241.297
GI_40254459-S	8624.453
GI_40254817-S	4317.053667
GI_40254828-S	2952.623667
GI_40255128-S	3960.937
GI_40255195-S	4559.692
GI_40316938-A	4132.171
GI_40317625-S	9039.000667
GI_40354199-S	587.4146667
GI_40538797-S	4775.357667
GI_40548385-S	6682.806667
GI_40805850-A	1243.040667
GI_40805859-A	5010.977333
GI_40806204-S	3043.043333
GI_40807455-S	8306.362667
GI_41146806-S	989.042
GI_41281370-S	12892.092
GI_41281517-S	5380.23
GI_41327737-I	6935.866667
GI_41350200-S	3186.616667
GI_41393571-S	5285.426667
GI_41393592-S	2546.994333
GI_41872473-S	2497.999
GI_41872499-A	2942.428
GI_41872630-S	10303.859
GI_42476152-S	5222.688667
GI_42476153-S	2173.056
GI_42476163-S	3503.345333
GI_42476323-S	6416.795
GI_42544124-A	6295.3755
GI_42560249-A	1483.320667
GI_42714656-A	1641.07
GI_42716292-S	7561.904
GI_42734437-S	5238.345
GI_42740906-A	14724.88867
GI_42741654-S	1890.966
GI_42794624-A	13788.21667
GI_44829053-S	3363.765333
GI_44890066-S	8572.505
GI_4502094-S	4698.352333
GI_4502680-S	2720.74
GI_4503760-S	901.317
GI_4504038-S	1187.708667
GI_4504184-S	529.2923333
GI_4504222-S	12369.974
GI_4504482-S	2162.481667
GI_4504504-S	4977.290667
GI_4504736-S	1946.625667
GI_4504788-S	500.938
GI_4505058-S	12267.51233
GI_4506866-S	4973.385
GI_4507544-S	3992.778333
GI_4507908-S	2686.675
GI_4508034-S	4226.353
GI_45359857-I	7160.875
GI_45439310-A	3640.514667
GI_45439361-S	7381.805333
GI_45504379-S	4467.585
GI_4557009-S	2757.817667
GI_4557314-S	1638.645
GI_4557546-A	1480.005333
GI_4557642-S	2666.702
GI_4557650-S	3389.184667
GI_4557764-S	3158.019333
GI_45594239-S	1720.325
GI_45827730-A	3713.873667
GI_46049109-A	10465.26633
GI_46094080-S	7165.770333
GI_46255021-A	10410.81367
GI_46409631-S	1830.153667
GI_46430498-S	4980.557667
GI_47078291-S	966.5256667
GI_47132559-A	16097.57333
GI_47419933-S	13238.33433
GI_4758397-A	11779.39067
GI_4758935-S	9205.931333
GI_4758943-S	12048.004
GI_4759029-S	1185.218
GI_47834319-S	5715.911
GI_48255934-I	4386.292
GI_48762945-S	13787.574
GI_4885280-S	4991.157
GI_4885390-S	1510.205333
GI_48928049-A	3693.748
GI_49472824-S	834.6353333
GI_49574524-S	4433.628333
GI_49574531-S	5774.579333
GI_4996892-S	4057.569333
GI_50345869-S	2630.963333
