Reporter Identifier	VALUE
EDNRA-Yu-S	3300.192
GI_10938013-S	16700.76933
GI_33457353-S	1826.299
GI_4507456-S	5386.730667
GI_5174574-S	15504.532
sarroybu-S	1211.873333
1557685_at-S	662.4076667
1560225_at-S	721.3796667
1561073_at-S	5772.807667
213310_at-S	3040.709
214174_s_at-S	603.226
214384_s_at-S	2887.570333
216584_at-S	3113.42
225311_at-S	8105.05
228178_s_at-S	690.3483333
228687_at-S	501.707
228798_x_at-S	629.5195
229455_at-S	7866.576
231181_at-S	667.511
231651_at-S	609.477
233424_at-S	513.403
235196_at-S	9214.543333
236338_at-S	3684.833667
236472_at-S	3668.057
240093_x_at-S	2830.94
240236_at-S	663.484
240543_at-S	2766.467
241944_x_at-S	3041.071333
242763_at-S	668.4553333
243636_s_at-S	2887.498667
244579_at-S	3556.925667
AA621488-Yu-S	2572.827667
AF119310-S	1009.453
AFF4-Yu-S	8474.094667
AI015000-Yu-S	642.8506667
AI017592-Yu-S	433.614
AI288607-Yu-S	728.8606667
AI431618-Yu-S	10541.05367
AI767512-Yu-S	670.9416667
AI791860-S	8575.979333
AI821573-Yu-S	596.1726667
ANK3-Glinsky-S	6016.288
AW014022-S	2112.985667
AW572379-S	2293.564667
BE144297-S	732.1783333
BENE-Singh-S	3287.989667
BUB1-Glinsky-S	1314.576333
BX096646-Yu-S	2976.277667
C2orf33-Yu-S	4512.967
CCNB1-Glinsky-S	2256.571667
CD4-Yu-S	2791.690333
CDS2-Glinsky-S	2805.545
CHAF1A-Glinsky-S	4946.614
CHGA-Singh-S	1842
COL1A2-Singh-S	13238.50033
COMMD5-S	719.81
CV364590-S	530.91
DNAJB1-Yu-S	13617.22267
EDG7.a-S	13488.30833
ERG_SV-S	1593.187
ETV4_X-S	519.1516667
FGFR2-Glinsky-S	2367.561667
FLJ12193-S	1264.326333
FLJ36036-S	453.7633333
FOS-Glinsky-S	26949.91533
GBL-Yu-S	1405.292333
GBX2-Glinsky-S	405.596
GDEP-S	21822.42033
GI_10346134-S	4166.856667
GI_10518500-S	2020.621
GI_10835012-S	765.2473333
GI_11056009-S	437.46
GI_11496986-S	8478.846667
GI_11612673-A	11452.30267
GI_12232472-S	4217.045667
GI_12751492-S	1620.008333
GI_13124878-A	22811.86567
GI_13259521-A	6637.814667
GI_13376207-S	3451.599333
GI_13376700-S	6153.475
GI_13514821-A	5989.626333
GI_13569888-S	4008.932667
GI_13699817-S	1084.622
GI_13876385-S	2606.017
GI_13904863-S	2038.311667
GI_13994357-S	1366.539
GI_14150117-S	7350.992
GI_14249567-S	3937.546667
GI_14589853-A	16630.11867
GI_14589875-A	1817.478667
GI_14602458-S	22489.94167
GI_14916436-S	21046.91933
GI_15022798-S	4531.466667
GI_15147331-S	2942.091667
GI_16554596-A	5168.388667
GI_17158040-A	2292.503
GI_17318577-S	5251.810667
GI_17402908-A	1298.880333
GI_17978511-A	5185.147333
GI_17981703-S	1689.745333
GI_18034691-A	3505.955
GI_18087810-S	1950.044333
GI_18087824-S	418.8523333
GI_18375500-A	8381.289667
GI_18375636-A	2615.447333
GI_18426896-A	23223.29333
GI_18490999-A	945.4636667
GI_18860908-S	975.2226667
GI_18860911-A	3514.556333
GI_19718752-S	2295.101
GI_19743807-S	20625.81167
GI_19743913-A	10229.735
GI_19747284-S	4070.006333
GI_19923214-S	3733.989333
GI_19923273-A	5090.654667
GI_19923288-S	889.0723333
GI_19923318-S	1389.090667
GI_19923351-S	19318.31233
GI_19923725-S	2983.008333
GI_20070229-S	3066.647
GI_20070271-S	11850.553
GI_20143931-S	5134.542667
GI_20149638-S	1559.39
GI_20302157-A	20499.72167
GI_20357509-A	2046.164667
GI_20357526-S	10771.34067
GI_20357564-S	14025.014
GI_20357590-S	3050.488
GI_21237801-S	9980.266333
GI_21264603-S	1191.105667
GI_21314674-S	3992.045667
GI_21361681-S	16283.52267
GI_21361690-S	18851.31067
GI_21361703-S	3130.160333
GI_21361830-S	4711.362
GI_21361852-S	2030.109333
GI_21389474-S	3882.858
GI_21389524-S	1564.997333
GI_21389576-S	1770.819667
GI_21536368-A	1880.353
GI_21536420-A	754.2316667
GI_21536453-S	6810.662
GI_21717806-S	1377.347
GI_21735624-A	11676.865
GI_21956644-S	6539.425333
GI_22027487-S	15344.748
GI_22095338-S	1846.581
GI_22212932-A	8191.859333
GI_22538477-A	2616.183333
GI_22547111-S	1218.701
GI_22547122-S	1316.803
GI_22547142-A	7402.421
GI_23199988-S	6860.218667
GI_23238206-S	1560.882333
GI_23510382-A	4167.24
GI_23510426-A	1513.467
GI_24041025-S	2665.519
GI_24234714-S	23157.38467
GI_24430189-S	5714.464667
GI_24432041-S	3596.401
GI_24497542-A	3353.555333
GI_24497617-S	3626.177667
GI_24497622-S	6661.902333
GI_24797084-S	10530.227
GI_24797096-A	2713.029333
GI_25092600-S	7878.618333
GI_25777723-A	1431.786
