Reporter Identifier	VALUE
EDNRA-Yu-S	5664.419
GI_10938013-S	17191.42433
GI_33457353-S	2661.858667
GI_4507456-S	4818.095667
GI_5174574-S	13679.44267
sarroybu-S	2523.615667
1557685_at-S	1291.606
1560225_at-S	992.313
1561073_at-S	6238.29
213310_at-S	3524.669333
214174_s_at-S	473.28
214384_s_at-S	2539.391667
216584_at-S	3123.5025
225311_at-S	7256.816333
228178_s_at-S	853.522
228687_at-S	470.224
228798_x_at-S	743.3285
229455_at-S	5039.347333
231181_at-S	1006.6125
231651_at-S	1420.706
233424_at-S	473.7113333
235196_at-S	7712.119333
236338_at-S	3725.625333
236472_at-S	3962.005
240093_x_at-S	1216.4555
240236_at-S	910.3803333
240543_at-S	3013.503667
241944_x_at-S	4125.286667
242763_at-S	652.666
243636_s_at-S	3331.421667
244579_at-S	4154.678667
AA621488-Yu-S	3009.453333
AF119310-S	449.2235
AFF4-Yu-S	8389.416667
AI015000-Yu-S	488.3336667
AI017592-Yu-S	698.219
AI288607-Yu-S	620.507
AI431618-Yu-S	12591.09533
AI767512-Yu-S	533.4346667
AI791860-S	9886.514
AI821573-Yu-S	1578.023667
ANK3-Glinsky-S	6078.963333
AW014022-S	1430.389333
AW572379-S	1861.101333
BE144297-S	646.912
BENE-Singh-S	7933.250667
BUB1-Glinsky-S	1968.473
BX096646-Yu-S	3794.019333
C2orf33-Yu-S	4218.865667
CCNB1-Glinsky-S	2050.238333
CD4-Yu-S	6030.206333
CDS2-Glinsky-S	3684.456
CHAF1A-Glinsky-S	4276.791667
CHGA-Singh-S	1550.866
COL1A2-Singh-S	19921.25067
COMMD5-S	712.356
CV364590-S	397.4305
DNAJB1-Yu-S	9150.284333
EDG7.a-S	1636.001333
ERG_SV-S	2045.604667
ETV4_X-S	376.3446667
FGFR2-Glinsky-S	3129.109667
FLJ12193-S	1569.337
FLJ36036-S	719.07
FOS-Glinsky-S	20132.437
GBL-Yu-S	2721.635
GBX2-Glinsky-S	379.9996667
GDEP-S	11806.297
GI_10346134-S	3785.141
GI_10518500-S	1884.941333
GI_10835012-S	542.308
GI_11056009-S	457.6293333
GI_11496986-S	8060.142
GI_11612673-A	5279.999
GI_12232472-S	6349.425333
GI_12751492-S	1698.710333
GI_13124878-A	25492.034
GI_13259521-A	8221.319333
GI_13376207-S	2883.788667
GI_13376700-S	6995.948
GI_13514821-A	6909.903333
GI_13569888-S	4947.541333
GI_13699817-S	1003.3095
GI_13876385-S	1636.945333
GI_13904863-S	2505.450667
GI_13994357-S	1485.531
GI_14150117-S	6425.818333
GI_14249567-S	4245.98
GI_14589853-A	14874.31467
GI_14589875-A	2825.672333
GI_14602458-S	18846.236
GI_14916436-S	21841.576
GI_15022798-S	2502.489667
GI_15147331-S	2123.399667
GI_16554596-A	5180.512
GI_17158040-A	3727.568667
GI_17318577-S	1882.379
GI_17402908-A	1474.774
GI_17978511-A	7323.638
GI_17981703-S	1174.938
GI_18034691-A	4483.300667
GI_18087810-S	1794.129667
GI_18087824-S	683.2533333
GI_18375500-A	9899.849667
GI_18375636-A	2804.736
GI_18426896-A	24355.924
GI_18490999-A	1723.868667
GI_18860908-S	1174.721667
GI_18860911-A	4092.849667
GI_19718752-S	2248.479
GI_19743807-S	10744.64133
GI_19743913-A	3963.352667
GI_19747284-S	7240.218333
GI_19923214-S	8408.083
GI_19923273-A	3550.833
GI_19923288-S	2304.186667
GI_19923318-S	1457.255667
GI_19923351-S	11486.56267
GI_19923725-S	6494.255667
GI_20070229-S	2929.434
GI_20070271-S	10240.98267
GI_20143931-S	9723.955667
GI_20149638-S	2455.201667
GI_20302157-A	18329.08667
GI_20357509-A	4428.897333
GI_20357526-S	11250.283
GI_20357564-S	17114.48567
GI_20357590-S	2641.243333
GI_21237801-S	9012.537
GI_21264603-S	2526.835667
GI_21314674-S	3642.927
GI_21361681-S	12775.03433
GI_21361690-S	17169.05633
GI_21361703-S	2229.871333
GI_21361830-S	3841.550667
GI_21361852-S	3166.683667
GI_21389474-S	5273.650667
GI_21389524-S	1987.006
GI_21389576-S	1736.346333
GI_21536368-A	2012.812
GI_21536420-A	788.497
GI_21536453-S	6650.973667
GI_21717806-S	1287.666
GI_21735624-A	13747.475
GI_21956644-S	6668.028333
GI_22027487-S	7259.191
GI_22095338-S	2701.262
GI_22212932-A	6929.646
GI_22538477-A	3596.577
GI_22547111-S	1833.612333
GI_22547122-S	1142.098667
GI_22547142-A	6630.951667
GI_23199988-S	7006.371333
GI_23238206-S	2195.052
GI_23510382-A	3382.612
GI_23510426-A	2772.286333
GI_24041025-S	2695.753
GI_24234714-S	18255.171
GI_24430189-S	3599.313
GI_24432041-S	3554.962
GI_24497542-A	5819.020333
GI_24497617-S	3411.684667
GI_24497622-S	3193.866667
GI_24797084-S	11028.464
GI_24797096-A	2430.536333
GI_25092600-S	6510.565667
GI_25777723-A	3324.986333
