Reporter Identifier	VALUE
EDNRA-Yu-S	4231.218667
GI_10938013-S	17281.05967
GI_33457353-S	1812.410333
GI_4507456-S	3662.213333
GI_5174574-S	17098.832
sarroybu-S	3684.783667
1557685_at-S	576.2416667
1560225_at-S	1012.476333
1561073_at-S	8221.942
213310_at-S	2254.538333
214174_s_at-S	644.207
214384_s_at-S	1958.918333
216584_at-S	3286.1235
225311_at-S	5143.077667
228178_s_at-S	746.1023333
228687_at-S	471.352
228798_x_at-S	1254.6935
229455_at-S	3046.757667
231181_at-S	680.67
231651_at-S	1342.648
233424_at-S	449.0836667
235196_at-S	5695.725
236338_at-S	3741.752333
236472_at-S	4062.232
240093_x_at-S	1336.1675
240236_at-S	1068.778667
240543_at-S	3080.537667
241944_x_at-S	4031.695667
242763_at-S	702.271
243636_s_at-S	4200.673
244579_at-S	5913.993667
AA621488-Yu-S	2621.899
AF119310-S	606.1905
AFF4-Yu-S	6724.086333
AI015000-Yu-S	691.553
AI017592-Yu-S	497.013
AI288607-Yu-S	892.7366667
AI431618-Yu-S	8680.951667
AI767512-Yu-S	559.313
AI791860-S	4825.254
AI821573-Yu-S	1348.051667
ANK3-Glinsky-S	7444.388
AW014022-S	974.7276667
AW572379-S	1631.449333
BE144297-S	692.0403333
BENE-Singh-S	3810.965333
BUB1-Glinsky-S	709.2266667
BX096646-Yu-S	3464.276
C2orf33-Yu-S	3649.222333
CCNB1-Glinsky-S	1024.745333
CD4-Yu-S	2990.801
CDS2-Glinsky-S	3348.643333
CHAF1A-Glinsky-S	3888.637
CHGA-Singh-S	2961.822667
COL1A2-Singh-S	13412.27267
COMMD5-S	650.496
CV364590-S	380.617
DNAJB1-Yu-S	8600.618333
EDG7.a-S	5443.540333
ERG_SV-S	1739.345667
ETV4_X-S	789.4256667
FGFR2-Glinsky-S	5747.456
FLJ12193-S	1468.407
FLJ36036-S	409.1683333
FOS-Glinsky-S	34249.85133
GBL-Yu-S	2267.301667
GBX2-Glinsky-S	386.8586667
GDEP-S	690.0506667
GI_10346134-S	3785.615667
GI_10518500-S	2832.714667
GI_10835012-S	1448.205333
GI_11056009-S	382.7166667
GI_11496986-S	3470.102333
GI_11612673-A	9930.384
GI_12232472-S	5110.299667
GI_12751492-S	1603.814667
GI_13124878-A	33097.825
GI_13259521-A	9434.706
GI_13376207-S	3390.115667
