Reporter Identifier	VALUE
EDNRA-Yu-S	5348.225
GI_10938013-S	15867.17567
GI_33457353-S	1286.147667
GI_4507456-S	4493.442333
GI_5174574-S	11795.108
sarroybu-S	1794.627667
1557685_at-S	981.0036667
1560225_at-S	1223.223667
1561073_at-S	5578.027667
213310_at-S	2523.938
214174_s_at-S	1075.146
214384_s_at-S	2142.66
216584_at-S	2659.7745
225311_at-S	6062.631667
228178_s_at-S	659.3746667
228687_at-S	476.434
228798_x_at-S	701.279
229455_at-S	2682.245333
231181_at-S	829.084
231651_at-S	630.5573333
233424_at-S	453.3306667
235196_at-S	5675.547
236338_at-S	3027.000667
236472_at-S	4548.898
240093_x_at-S	1130.464
240236_at-S	898.001
240543_at-S	1837.112667
241944_x_at-S	2321.038
242763_at-S	700.2666667
243636_s_at-S	2919.921333
244579_at-S	4514.127
AA621488-Yu-S	2166.137667
AF119310-S	569.35
AFF4-Yu-S	6968.755667
AI015000-Yu-S	514.0053333
AI017592-Yu-S	376.7753333
AI288607-Yu-S	745.3386667
AI431618-Yu-S	8183.312667
AI767512-Yu-S	657.4576667
AI791860-S	4625.300667
AI821573-Yu-S	681.571
ANK3-Glinsky-S	7532.066667
AW014022-S	1195.495333
AW572379-S	1483.221
BE144297-S	608.4183333
BENE-Singh-S	5644.986667
BUB1-Glinsky-S	1280.989333
BX096646-Yu-S	2113.812333
C2orf33-Yu-S	4250.878667
CCNB1-Glinsky-S	1809.824333
CD4-Yu-S	4460.672
CDS2-Glinsky-S	2894.097667
CHAF1A-Glinsky-S	3617.898333
CHGA-Singh-S	1856.514667
COL1A2-Singh-S	15750.654
COMMD5-S	624.943
CV364590-S	398.5445
DNAJB1-Yu-S	7429.692667
EDG7.a-S	9458.621333
ERG_SV-S	1411.862
ETV4_X-S	541.1933333
FGFR2-Glinsky-S	2503.645333
FLJ12193-S	1055.097333
FLJ36036-S	432.2136667
FOS-Glinsky-S	21281.902
GBL-Yu-S	1260.854
GBX2-Glinsky-S	367.4813333
GDEP-S	660.519
GI_10346134-S	3760.205333
GI_10518500-S	1046.958333
GI_10835012-S	673.825
GI_11056009-S	393.8953333
GI_11496986-S	6816.97
GI_11612673-A	11703.04067
GI_12232472-S	4212.938667
GI_12751492-S	1333.921667
GI_13124878-A	23777.46267
GI_13259521-A	5789.155667
GI_13376207-S	2029.661333
GI_13376700-S	5218.809667
GI_13514821-A	7022.241
GI_13569888-S	3512.011667
GI_13699817-S	1036.3955
GI_13876385-S	1437.820333
GI_13904863-S	2077.288667
GI_13994357-S	1535.861667
