Reporter Identifier	VALUE
EDNRA-Yu-S	3645.453
GI_10938013-S	15283.94933
GI_33457353-S	1945.677667
GI_4507456-S	4195.603
GI_5174574-S	18747.026
sarroybu-S	1385.059
1557685_at-S	858.7306667
1560225_at-S	760.1506667
1561073_at-S	6451.699333
213310_at-S	2978.039667
214174_s_at-S	884.603
214384_s_at-S	1578.940333
216584_at-S	3299.096
225311_at-S	5910.27
228178_s_at-S	915.3006667
228687_at-S	616.451
228798_x_at-S	794.196
229455_at-S	3909.225667
231181_at-S	769.3965
231651_at-S	573.146
233424_at-S	507.589
235196_at-S	5774.517667
236338_at-S	3994.340667
236472_at-S	3363.607
240093_x_at-S	1652.478
240236_at-S	552.3773333
240543_at-S	3710.518333
241944_x_at-S	2921.585667
242763_at-S	690.3233333
243636_s_at-S	3756.930667
244579_at-S	4330.076333
AA621488-Yu-S	2501.534333
AF119310-S	561.123
AFF4-Yu-S	7429.029333
AI015000-Yu-S	678.3706667
AI017592-Yu-S	604.991
AI288607-Yu-S	876.0946667
AI431618-Yu-S	8733.389667
AI767512-Yu-S	763.2853333
AI791860-S	3638.519
AI821573-Yu-S	541.481
ANK3-Glinsky-S	8286.698667
AW014022-S	1351.003
AW572379-S	1411.136667
BE144297-S	702.556
BENE-Singh-S	3243.847667
BUB1-Glinsky-S	868.596
BX096646-Yu-S	2644.448333
C2orf33-Yu-S	3539.429667
CCNB1-Glinsky-S	1203.477667
CD4-Yu-S	3428.624667
CDS2-Glinsky-S	2624.267
CHAF1A-Glinsky-S	4509.086667
CHGA-Singh-S	1025.999667
COL1A2-Singh-S	13221.29267
COMMD5-S	997.28
CV364590-S	386.69
DNAJB1-Yu-S	8349.586
EDG7.a-S	14440.16033
ERG_SV-S	1575.133333
ETV4_X-S	629.9726667
FGFR2-Glinsky-S	2880.480667
FLJ12193-S	1594.384
FLJ36036-S	583.8393333
FOS-Glinsky-S	22981.803
GBL-Yu-S	2132.872667
GBX2-Glinsky-S	344.573
GDEP-S	1884.195667
GI_10346134-S	2691.693
GI_10518500-S	2455.01
GI_10835012-S	644.6506667
GI_11056009-S	370.36
GI_11496986-S	5747.533667
GI_11612673-A	8750.710667
GI_12232472-S	6701.609667
GI_12751492-S	1583.331333
GI_13124878-A	22151.12133
GI_13259521-A	6427.902
GI_13376207-S	2986.538333
GI_13376700-S	6444.567
GI_13514821-A	5984.821
GI_13569888-S	3857.502333
GI_13699817-S	1025.919
GI_13876385-S	1847.517667
GI_13904863-S	1658.588333
GI_13994357-S	1520.387333
GI_14150117-S	8554.616667
GI_14249567-S	4477.28
GI_14589853-A	12238.97433
GI_14589875-A	3290.975667
GI_14602458-S	17918.473
GI_14916436-S	21335.61
GI_15022798-S	3956.737333
GI_15147331-S	2109.288667
GI_16554596-A	3640.990333
GI_17158040-A	3302.418
GI_17318577-S	2892.816333
GI_17402908-A	1956.42
GI_17978511-A	6742.358667
GI_17981703-S	1205.32
GI_18034691-A	3179.789
GI_18087810-S	1876.337
GI_18087824-S	415.079
GI_18375500-A	9669.694667
GI_18375636-A	3020.881667
GI_18426896-A	25203.56833
