Reporter Identifier	VALUE
EDNRA-Yu-S	3313.196
GI_10938013-S	14089.351
GI_33457353-S	2463.739667
GI_4507456-S	3739.242667
GI_5174574-S	15146.29033
sarroybu-S	1649.659333
1557685_at-S	691.4406667
1560225_at-S	703.028
1561073_at-S	4895.208333
213310_at-S	1980.923667
214174_s_at-S	578.483
214384_s_at-S	1715.492667
216584_at-S	3022.1575
225311_at-S	8109.829
228178_s_at-S	663.9773333
228687_at-S	460.043
228798_x_at-S	543.152
229455_at-S	2616.946
231181_at-S	928.9005
231651_at-S	627.6686667
233424_at-S	466.3216667
235196_at-S	2941.868333
236338_at-S	5714.962667
236472_at-S	5133.969667
240093_x_at-S	823.425
240236_at-S	630.6166667
240543_at-S	2468.484667
241944_x_at-S	2039.853333
242763_at-S	645.3236667
243636_s_at-S	3165.433667
244579_at-S	2350.254
AA621488-Yu-S	2001.456
AF119310-S	577.2245
AFF4-Yu-S	8468.565667
AI015000-Yu-S	633.445
AI017592-Yu-S	377.965
AI288607-Yu-S	781.7436667
AI431618-Yu-S	8148.841
AI767512-Yu-S	635.394
AI791860-S	8628.417333
AI821573-Yu-S	633.6033333
ANK3-Glinsky-S	6542.017333
AW014022-S	4682.173333
AW572379-S	1174.639333
BE144297-S	709.4863333
BENE-Singh-S	2888.424667
BUB1-Glinsky-S	960.7656667
BX096646-Yu-S	1863.550333
C2orf33-Yu-S	3574.518333
CCNB1-Glinsky-S	1191.467667
CD4-Yu-S	2102.662667
CDS2-Glinsky-S	2299.840333
CHAF1A-Glinsky-S	3674.53
CHGA-Singh-S	1010.026667
COL1A2-Singh-S	13194.43967
COMMD5-S	1039.55
CV364590-S	397.3515
DNAJB1-Yu-S	8344.789
EDG7.a-S	8056.701
ERG_SV-S	1400.446667
ETV4_X-S	456.0336667
FGFR2-Glinsky-S	2877.903667
FLJ12193-S	1422.927667
FLJ36036-S	482.1973333
FOS-Glinsky-S	22178.90133
GBL-Yu-S	2100.713333
GBX2-Glinsky-S	397.905
GDEP-S	17335.547
GI_10346134-S	2292.438
GI_10518500-S	3384.508
GI_10835012-S	456.7933333
GI_11056009-S	398.0903333
GI_11496986-S	9357.115
GI_11612673-A	7959.222667
GI_12232472-S	3791.022333
GI_12751492-S	1774.679667
GI_13124878-A	23441.56
GI_13259521-A	7815.457667
GI_13376207-S	2630.044333
GI_13376700-S	7434.563667
GI_13514821-A	6144.157333
GI_13569888-S	3396.596333
GI_13699817-S	1301.5325
GI_13876385-S	1939.342
GI_13904863-S	1628.198333
GI_13994357-S	2092.974333
GI_14150117-S	5259.430667
GI_14249567-S	3727.744
GI_14589853-A	8039.536667
GI_14589875-A	1914.952
GI_14602458-S	19575.20067
GI_14916436-S	15638.73967
GI_15022798-S	3352.868667
GI_15147331-S	1990.671333
GI_16554596-A	4434.249333
GI_17158040-A	2548.437667
GI_17318577-S	2171.743
