Reporter Identifier	VALUE
EDNRA-Yu-S	3840.691667
GI_10938013-S	17584.87467
GI_33457353-S	2269.094333
GI_4507456-S	3489.485667
GI_5174574-S	11918.864
sarroybu-S	2173.045667
1557685_at-S	715.5706667
1560225_at-S	843.1593333
1561073_at-S	6033.940667
213310_at-S	2464.695
214174_s_at-S	647.821
214384_s_at-S	1638.059
216584_at-S	3203.722
225311_at-S	7112.41
228178_s_at-S	771.8346667
228687_at-S	491.702
228798_x_at-S	776.4995
229455_at-S	3075.201333
231181_at-S	733.1885
231651_at-S	643.9106667
233424_at-S	490.176
235196_at-S	4769.235333
236338_at-S	3231.252
236472_at-S	6244.439333
240093_x_at-S	1178.08
240236_at-S	750.428
240543_at-S	3280.049
241944_x_at-S	3117.216333
242763_at-S	738.4213333
243636_s_at-S	3434.082333
244579_at-S	3224.641667
AA621488-Yu-S	2570.786
AF119310-S	734.717
AFF4-Yu-S	8150.011667
AI015000-Yu-S	599.7803333
AI017592-Yu-S	380.1916667
AI288607-Yu-S	790.432
AI431618-Yu-S	9113.084
AI767512-Yu-S	667.325
AI791860-S	6851.328333
AI821573-Yu-S	989.3376667
ANK3-Glinsky-S	12622.75133
AW014022-S	1768.344667
AW572379-S	1946.499333
BE144297-S	776.2943333
BENE-Singh-S	5718.505667
BUB1-Glinsky-S	1460.955333
BX096646-Yu-S	2429.818667
C2orf33-Yu-S	4392.154333
CCNB1-Glinsky-S	1321.570667
CD4-Yu-S	2466.983667
CDS2-Glinsky-S	2311.087333
CHAF1A-Glinsky-S	3898.415667
CHGA-Singh-S	3376.757667
COL1A2-Singh-S	15516.65
COMMD5-S	922.029
CV364590-S	465.2225
DNAJB1-Yu-S	7955.105667
EDG7.a-S	5256.004
ERG_SV-S	11190.02533
ETV4_X-S	526.3766667
FGFR2-Glinsky-S	3400.833667
FLJ12193-S	1444.425333
FLJ36036-S	461.0006667
FOS-Glinsky-S	26999.535
GBL-Yu-S	2591.749
GBX2-Glinsky-S	375.2883333
GDEP-S	2486.912667
GI_10346134-S	2561.683333
GI_10518500-S	2909.737333
GI_10835012-S	500.2916667
GI_11056009-S	421.0786667
GI_11496986-S	6276.784333
GI_11612673-A	5897.51
GI_12232472-S	4738.363333
GI_12751492-S	1923.014667
GI_13124878-A	26575.73667
GI_13259521-A	7644.081
GI_13376207-S	3109.843
GI_13376700-S	5828.386667
GI_13514821-A	7043.465
GI_13569888-S	3670.272667
GI_13699817-S	1347.157
GI_13876385-S	3081.196667
GI_13904863-S	1527.514333
GI_13994357-S	1681.222667
GI_14150117-S	5748.966667
GI_14249567-S	4173.724
GI_14589853-A	8628.879
GI_14589875-A	2954.741333
GI_14602458-S	12339.02467
GI_14916436-S	13912.025
GI_15022798-S	4774.746333
GI_15147331-S	4305.435667
GI_16554596-A	6985.997667
GI_17158040-A	5722.839333
GI_17318577-S	6646.934333
GI_17402908-A	2751.318667
GI_17978511-A	5829.265667
GI_17981703-S	1596.744667
GI_18034691-A	4857.857
GI_18087810-S	2267.803667
GI_18087824-S	383.7566667
GI_18375500-A	10308.81267
GI_18375636-A	3045.161333
GI_18426896-A	25307.03867
GI_18490999-A	1349.076
GI_18860908-S	1447.07
GI_18860911-A	3284.935
GI_19718752-S	2751.695667
GI_19743807-S	3135.604333
GI_19743913-A	3515.841667
GI_19747284-S	6530.512
GI_19923214-S	5407.617333
GI_19923273-A	1894.804
GI_19923288-S	1523.48
GI_19923318-S	1625.109
GI_19923351-S	19040.46967
GI_19923725-S	3392.213667
GI_20070229-S	3232.321333
GI_20070271-S	9206.837333
GI_20143931-S	709.616
GI_20149638-S	1524.576333
GI_20302157-A	27771.01533
GI_20357509-A	2583.420333
GI_20357526-S	11227.60833
GI_20357564-S	15878.78567
GI_20357590-S	2721.968667
GI_21237801-S	11102.784
GI_21264603-S	2732.704667
GI_21314674-S	2789.208
GI_21361681-S	14732.43833
GI_21361690-S	11050.496
GI_21361703-S	2502.466667
GI_21361830-S	6744.334333
GI_21361852-S	2883.508
GI_21389474-S	5501.274
GI_21389524-S	2131.425667
GI_21389576-S	1891.727667
GI_21536368-A	1657.789333
GI_21536420-A	846.1603333
GI_21536453-S	8366.684667
GI_21717806-S	1460.392333
GI_21735624-A	15526.691
GI_21956644-S	7163.11
GI_22027487-S	14670.4505
GI_22095338-S	1846.025667
GI_22212932-A	4757.122667
GI_22538477-A	2939.832667
GI_22547111-S	1322.146333
GI_22547122-S	1481.342667
GI_22547142-A	6740.106667
GI_23199988-S	4445.363
GI_23238206-S	3452.76
GI_23510382-A	3587.843
GI_23510426-A	3561.309667
GI_24041025-S	2964.886
GI_24234714-S	23480.49033
GI_24430189-S	6610.485333
GI_24432041-S	3428.184
GI_24497542-A	2728.461
GI_24497617-S	3049.555667
GI_24497622-S	6523.158
GI_24797084-S	12012.81267
GI_24797096-A	3125.756
GI_25092600-S	9813.720667
GI_25777723-A	1473.275333
GI_27262625-A	2642.4
GI_27502380-A	6702.531333
