Reporter Identifier	VALUE
EDNRA-Yu-S	2956.424333
GI_10938013-S	15701.92367
GI_33457353-S	2476.356333
GI_4507456-S	5541.430667
GI_5174574-S	18030.61533
sarroybu-S	1607.162333
1557685_at-S	804.4826667
1560225_at-S	844.1793333
1561073_at-S	5444.332
213310_at-S	2791.623667
214174_s_at-S	1201.656
214384_s_at-S	2534.188333
216584_at-S	3242.1395
225311_at-S	4433.156
228178_s_at-S	795.9416667
228687_at-S	659.295
228798_x_at-S	1508.906
229455_at-S	4162.506667
231181_at-S	811.1285
231651_at-S	699.1166667
233424_at-S	633.925
235196_at-S	5231.007333
236338_at-S	9389.687333
236472_at-S	4688.743667
240093_x_at-S	1474.7525
240236_at-S	648.731
240543_at-S	4145.181
241944_x_at-S	3329.014
242763_at-S	727.8826667
243636_s_at-S	4747.774667
244579_at-S	3222.567
AA621488-Yu-S	4034.534667
AF119310-S	579.763
AFF4-Yu-S	6907.173333
AI015000-Yu-S	557.396
AI017592-Yu-S	395.139
AI288607-Yu-S	910.003
AI431618-Yu-S	9069.477333
AI767512-Yu-S	747.4433333
AI791860-S	6227.339333
AI821573-Yu-S	865.2626667
ANK3-Glinsky-S	7196.699667
AW014022-S	1017.026333
AW572379-S	2733.189667
BE144297-S	737.859
BENE-Singh-S	4161.026333
BUB1-Glinsky-S	1136.107333
BX096646-Yu-S	2611.541
C2orf33-Yu-S	4324.033333
CCNB1-Glinsky-S	1159.232
CD4-Yu-S	3525.248333
CDS2-Glinsky-S	2610.415
CHAF1A-Glinsky-S	5199.570333
CHGA-Singh-S	1420.813
COL1A2-Singh-S	10092.73433
COMMD5-S	1154.014
CV364590-S	560.867
DNAJB1-Yu-S	7458.703667
EDG7.a-S	9397.941333
ERG_SV-S	1266.611
ETV4_X-S	696.4683333
FGFR2-Glinsky-S	1997.225333
FLJ12193-S	2188.213
FLJ36036-S	556.348
FOS-Glinsky-S	25672.93367
GBL-Yu-S	2664.930333
GBX2-Glinsky-S	353.72
