Reporter Identifier	VALUE
EDNRA-Yu-S	1837.237667
GI_10938013-S	17865.05733
GI_33457353-S	2211.433
GI_4507456-S	5173.662
GI_5174574-S	16128.14533
sarroybu-S	1025.452
1557685_at-S	598.0666667
1560225_at-S	706.7596667
1561073_at-S	5748.269667
213310_at-S	2086.078667
214174_s_at-S	610.284
214384_s_at-S	2145.177
216584_at-S	3783.839
225311_at-S	7233.251333
228178_s_at-S	748.2736667
228687_at-S	537.967
228798_x_at-S	626.445
229455_at-S	5606.561333
231181_at-S	809.292
231651_at-S	536.4613333
233424_at-S	509.0146667
235196_at-S	5056.558333
236338_at-S	6136.209
236472_at-S	5029.197
240093_x_at-S	637.9655
240236_at-S	715.2826667
240543_at-S	4287.673333
241944_x_at-S	2214.647
242763_at-S	816.9713333
243636_s_at-S	3613.146667
244579_at-S	3463.757
AA621488-Yu-S	2765.778667
AF119310-S	703.5465
AFF4-Yu-S	8779.124667
AI015000-Yu-S	543.4826667
AI017592-Yu-S	494.8206667
AI288607-Yu-S	919.2456667
AI431618-Yu-S	7596.154667
AI767512-Yu-S	654.878
AI791860-S	6623.131
AI821573-Yu-S	579.3146667
ANK3-Glinsky-S	9732.771333
AW014022-S	902.0766667
AW572379-S	1546.272667
BE144297-S	741.016
BENE-Singh-S	6243.87
BUB1-Glinsky-S	869.1043333
BX096646-Yu-S	2402.283667
C2orf33-Yu-S	3538.314333
CCNB1-Glinsky-S	1152.563333
CD4-Yu-S	3179.662333
CDS2-Glinsky-S	2594.141667
CHAF1A-Glinsky-S	4413.902
CHGA-Singh-S	682.396
COL1A2-Singh-S	13791.876
COMMD5-S	880.188
CV364590-S	538.799
DNAJB1-Yu-S	8927.075333
EDG7.a-S	10326.96033
ERG_SV-S	27302.93667
ETV4_X-S	478.7673333
FGFR2-Glinsky-S	990.291
FLJ12193-S	1488.822333
FLJ36036-S	472.1763333
FOS-Glinsky-S	36904.59467
GBL-Yu-S	2344.189
GBX2-Glinsky-S	374.5833333
GDEP-S	441.7273333
GI_10346134-S	3865.421
GI_10518500-S	5265.259333
GI_10835012-S	606.834
GI_11056009-S	481.634
GI_11496986-S	8991.588333
GI_11612673-A	6238.522333
GI_12232472-S	5134.637
GI_12751492-S	1927.458
GI_13124878-A	14861.21367
GI_13259521-A	7801.091333
GI_13376207-S	3252.920667
GI_13376700-S	9056.125667
GI_13514821-A	8231.835333
GI_13569888-S	5888.656
GI_13699817-S	1441.45
GI_13876385-S	2167.183333
GI_13904863-S	1112.611667
GI_13994357-S	1416.841333
GI_14150117-S	6260.928667
GI_14249567-S	4910.413667
GI_14589853-A	5951.918667
GI_14589875-A	2413.515
GI_14602458-S	24036.87633
GI_14916436-S	26772.02967
GI_15022798-S	5070.718667
GI_15147331-S	1086.679667
GI_16554596-A	4102.205667
GI_17158040-A	4516.062667
GI_17318577-S	829.835
GI_17402908-A	1156.925
GI_17978511-A	7793.078333
GI_17981703-S	1264.724667
GI_18034691-A	4666.141
GI_18087810-S	2414.642333
GI_18087824-S	426.8983333
GI_18375500-A	9996.262
GI_18375636-A	3327.876
GI_18426896-A	29825.26533
GI_18490999-A	1290.047667
GI_18860908-S	881.4406667
GI_18860911-A	4629.049
GI_19718752-S	2874.243
GI_19743807-S	1622.411333
GI_19743913-A	6733.976333
GI_19747284-S	3042.657333
GI_19923214-S	4075.224667
GI_19923273-A	3036.413
GI_19923288-S	1431.777333
GI_19923318-S	1973.331
GI_19923351-S	20543.10067
GI_19923725-S	4315.131
GI_20070229-S	2696.154
GI_20070271-S	16224.87667
GI_20143931-S	7666.029
GI_20149638-S	933.364
GI_20302157-A	38038.08633
GI_20357509-A	1461.726667
GI_20357526-S	11363.07633
GI_20357564-S	18550.58467
GI_20357590-S	3177.905
GI_21237801-S	9609.388333
GI_21264603-S	2185.794667
GI_21314674-S	2290.454
GI_21361681-S	13594.303
GI_21361690-S	9743.715
GI_21361703-S	2756.437
GI_21361830-S	5922.825667
GI_21361852-S	2261.357667
GI_21389474-S	5075.026
GI_21389524-S	2061.264
GI_21389576-S	2009.789
GI_21536368-A	1843.869333
GI_21536420-A	986.2246667
GI_21536453-S	8418.417
GI_21717806-S	1542.121333
GI_21735624-A	16679.907
GI_21956644-S	7961.290667
GI_22027487-S	16465.3795
GI_22095338-S	1855.634
GI_22212932-A	4894.310667
GI_22538477-A	3669.611
GI_22547111-S	755.3393333
GI_22547122-S	1700.537
GI_22547142-A	7611.063667
GI_23199988-S	690.0306667
GI_23238206-S	4597.635667
GI_23510382-A	3479.02
GI_23510426-A	5516.638
GI_24041025-S	2498.000333
GI_24234714-S	31256.552
GI_24430189-S	1370.355667
GI_24432041-S	2567.844333
GI_24497542-A	2883.027333
GI_24497617-S	3626.689333
GI_24497622-S	4701.657
GI_24797084-S	11469.679
GI_24797096-A	3476.525333
GI_25092600-S	16631.481
GI_25777723-A	650.963
GI_27262625-A	4452.845667
GI_27502380-A	3103.676
GI_27734806-S	3491.690333
GI_27735148-S	3241.257
GI_27764881-S	962.909
GI_27765097-A	5528.634667
GI_27894345-A	20448.019
GI_28274700-S	7035.376667
GI_28373079-S	1519.207667
GI_28875783-S	702.9713333
GI_28875796-S	5097.428333
GI_29171733-S	5205.268
GI_29550837-A	27383.15933
GI_29570779-S	7171.563
GI_29789372-S	8994.846667
GI_30023852-S	3257.981
GI_30089963-S	1904.324333
GI_30089965-S	2892.096667
GI_30795246-S	2212.451
GI_31317227-S	4069.398
GI_31317248-A	931.9373333
GI_31542689-S	6290.968
GI_31542782-S	2958.437
GI_31542866-S	9005.899333
GI_31543061-S	6058.181
GI_31543092-S	7410.468333
GI_31543141-S	822.0643333
GI_31543409-S	14162.44367
GI_31543629-S	1388.116
GI_31742480-A	16573.43533
GI_32401423-S	10856.499
GI_32483415-S	1420.936
GI_32698699-S	2470.868667
GI_33469967-A	8007.982667
GI_33519445-A	6074.211333
GI_33598925-S	12286.31933
GI_33620748-S	4407.394
GI_33695154-A	8459.318
GI_34147546-S	1154.924667
GI_34147602-S	3965.363
GI_34147623-S	7486.065
GI_34147678-S	6720.237667
GI_34147690-S	971.624
GI_34147722-S	1703.958667
GI_34222118-S	508.463
GI_34222227-S	1506.692667
GI_34222261-S	11623.85333
GI_34222336-S	1823.494667
GI_34222364-S	6495.441667
GI_34304351-S	9366.540333
GI_34328934-S	5217.011
GI_34734061-A	7180.364333
GI_35038527-S	5649.198
GI_35038563-S	1502.561
GI_37537703-A	2199.407
GI_37577125-A	2497.682667
GI_37655182-S	27128.813
GI_37675281-S	2924.551667
GI_37704380-S	38590.113
GI_38027922-S	3128.837667
GI_38045935-S	1282.914333
GI_38157985-A	5331.757
GI_38201689-S	2904.133333
GI_38202206-S	2921.953333
GI_38202210-S	5071.973667
GI_38202220-A	607.027
GI_38257140-S	5881.285667
GI_38327565-A	1415.562
GI_38372939-S	1872.029
GI_38454325-S	1121.281333
GI_38505179-I	993.1693333
GI_38569481-S	12398.95267
GI_38679896-S	3299.493333
GI_38679966-A	18282.23533
GI_38788154-A	715.528
GI_38788307-S	1849.911667
GI_39653320-A	9916.206667
GI_39725673-S	10029.24633
GI_39725694-S	2119.2655
GI_39777596-A	4478.751667
GI_39812446-S	2700.665333
GI_40217807-S	12056.89967
GI_40217844-S	9690.301333
GI_40254430-S	900.3093333
GI_40254459-S	10281.43067
GI_40254817-S	5563.847667
GI_40254828-S	3218.939333
GI_40255128-S	4856.484333
GI_40255195-S	6386.301
GI_40316938-A	5664.611333
GI_40317625-S	7004.096
GI_40354199-S	723.3316667
GI_40538797-S	6392.136667
GI_40548385-S	6800.434
GI_40805850-A	1050.597333
GI_40805859-A	3445.25
GI_40806204-S	2159.836
GI_40807455-S	8738.990333
GI_41146806-S	767.0266667
GI_41281370-S	12204.0325
GI_41281517-S	5125.929333
GI_41327737-I	5845.960333
GI_41350200-S	2748.659
GI_41393571-S	6632.808333
GI_41393592-S	2025.718333
GI_41872473-S	3398.885333
GI_41872499-A	2320.137333
GI_41872630-S	14521.79933
GI_42476152-S	8085.997667
GI_42476153-S	3507.513333
GI_42476163-S	3648.659333
GI_42476323-S	8633.396333
GI_42544124-A	7090.5165
GI_42560249-A	1484.193667
GI_42714656-A	1445.133
GI_42716292-S	7105.285667
GI_42734437-S	5779.712667
GI_42740906-A	7200.063
GI_42741654-S	1176.062333
GI_42794624-A	25011.30267
GI_44829053-S	3721.046333
GI_44890066-S	8044.358
GI_4502094-S	830.48
GI_4502680-S	3856.299333
GI_4503760-S	1876.723667
GI_4504038-S	1049.032
GI_4504184-S	13232.858
GI_4504222-S	13150.22467
GI_4504482-S	3405.642333
GI_4504504-S	8932.938667
GI_4504736-S	1151.538
GI_4504788-S	590.5163333
GI_4505058-S	18159.26433
GI_4506866-S	8026.863333
GI_4507544-S	4102.588667
GI_4507908-S	2834.130667
GI_4508034-S	5259.915333
GI_45359857-I	7152.707
GI_45439310-A	3541.755
GI_45439361-S	5778.007333
GI_45504379-S	5305.066333
GI_4557009-S	3260.672
GI_4557314-S	1892.807
GI_4557546-A	1745.412
GI_4557642-S	4597.24
GI_4557650-S	2604.830667
GI_4557764-S	2757.651333
GI_45594239-S	1655.783
GI_45827730-A	4256.118667
GI_46049109-A	6399.55
GI_46094080-S	5351.106
GI_46255021-A	21259.22567
GI_46409631-S	1933.763333
GI_46430498-S	5416.322667
GI_47078291-S	753.6566667
GI_47132559-A	7687.783
GI_47419933-S	12488.395
GI_4758397-A	19895.69767
GI_4758935-S	4260.239
GI_4758943-S	14867.505
GI_4759029-S	685.001
GI_47834319-S	1655.413
GI_48255934-I	2124.956
GI_48762945-S	15893.53867
GI_4885280-S	7381.640667
GI_4885390-S	1722.827667
GI_48928049-A	3543.116333
GI_49472824-S	1065.697667
GI_49574524-S	2353.980667
GI_49574531-S	5926.779667
GI_4996892-S	1320.311667
GI_50345869-S	2850.594
GI_50345880-S	2400.263333
GI_50345990-A	3675.415333
GI_50363233-A	25522.177
GI_50593005-S	14185.70667
GI_50658081-S	6448.598667
GI_50845389-A	2268.875
GI_50897853-A	7552.350667
GI_50962774-S	1265.338667
GI_51317377-A	1956.619
GI_51468664-S	841.9506667
GI_51471045-S	6966.274333
GI_51479142-A	10306.59033
GI_51702237-A	13152.407
GI_5174674-S	1244.349
GI_51921282-S	480.6136667
GI_52145304-S	945.7276667
GI_52352809-S	479.3356667
GI_52851410-S	5504.179
GI_52851464-S	924.8526667
GI_53831996-S	1968.290333
GI_53850662-S	7381.356333
GI_54112122-A	6059.748667
GI_54112400-S	1660.937
GI_54400757-S	5559.911333
GI_5453993-S	6986.354
GI_54607119-S	1414.598333
GI_55749985-A	2204.013
