Reporter Identifier	VALUE
EDNRA-Yu-S	4599.738667
GI_10938013-S	14771.43
GI_33457353-S	1813.019667
GI_4507456-S	4124.197
GI_5174574-S	18307.676
sarroybu-S	1329.435
1557685_at-S	947.4583333
1560225_at-S	807.0626667
1561073_at-S	6218.823667
213310_at-S	4191.579
214174_s_at-S	553.768
214384_s_at-S	2605.785
216584_at-S	2699.129
225311_at-S	5200.527333
228178_s_at-S	597.241
228687_at-S	458.273
228798_x_at-S	853.4805
229455_at-S	4692.963333
231181_at-S	915.6435
231651_at-S	760.6673333
233424_at-S	540.8846667
235196_at-S	6605.462
236338_at-S	2821.225
236472_at-S	5301.160667
240093_x_at-S	1468.35
240236_at-S	1684.528333
240543_at-S	3209.335667
241944_x_at-S	2761.239667
242763_at-S	753.3463333
243636_s_at-S	3005.388333
244579_at-S	4276.989333
AA621488-Yu-S	2588.441667
AF119310-S	540.4405
AFF4-Yu-S	9006.851667
AI015000-Yu-S	543.8443333
AI017592-Yu-S	395.0336667
AI288607-Yu-S	691.8113333
AI431618-Yu-S	9614.543333
AI767512-Yu-S	558.2916667
AI791860-S	8870.016333
AI821573-Yu-S	984.6636667
ANK3-Glinsky-S	9919.639
AW014022-S	896.9333333
AW572379-S	989.0683333
BE144297-S	709.2856667
BENE-Singh-S	6363.129333
BUB1-Glinsky-S	2012.427
BX096646-Yu-S	2273.344
C2orf33-Yu-S	4316.326
CCNB1-Glinsky-S	2417.88
CD4-Yu-S	2802.130667
CDS2-Glinsky-S	3145.466333
CHAF1A-Glinsky-S	7063.647
CHGA-Singh-S	5548.361
COL1A2-Singh-S	16390.17233
COMMD5-S	611.222
CV364590-S	469.9395
DNAJB1-Yu-S	10371.46033
EDG7.a-S	9509.077333
ERG_SV-S	17521.46433
ETV4_X-S	516.423
FGFR2-Glinsky-S	2747.874
FLJ12193-S	1290.839
FLJ36036-S	651.5873333
FOS-Glinsky-S	12917.04633
GBL-Yu-S	1622.127
GBX2-Glinsky-S	374.093
GDEP-S	2516.801667
GI_10346134-S	2827.036667
GI_10518500-S	2654.227667
GI_10835012-S	845.567
GI_11056009-S	432.984
GI_11496986-S	6848.61
GI_11612673-A	6700.325333
GI_12232472-S	6934.647
GI_12751492-S	1481.729
GI_13124878-A	22411.08033
GI_13259521-A	7721.174
GI_13376207-S	2596.204333
GI_13376700-S	5261.120333
GI_13514821-A	8107.321
GI_13569888-S	3791.009
GI_13699817-S	1014.666
