Reporter Identifier	VALUE
GI_10938013-S	22270.61733
GI_33457353-S	3413.070333
GI_4507456-S	5115.567
GI_5174574-S	9545.745
GI_10092618-S	18712.566
GI_10337586-S	432.082
GI_10834981-S	13636.482
GI_10834983-S	10248.13367
GI_10835001-S	15945.67133
GI_10835048-S	18514.37
GI_10835156-S	6154.428
GI_10835158-S	11985.57867
GI_10835160-S	2365.574667
GI_10835170-S	555.246
GI_10863872-S	2671.806667
GI_10863920-S	9912.740333
GI_10880127-S	6463.195667
GI_10938009-A	7970.882333
GI_11038640-A	8241.398667
GI_11068002-S	9031.966
GI_11321592-S	12742.825
GI_11321596-S	2940.265333
GI_11342665-S	12781.719
GI_11496238-S	11010.97067
GI_11496880-S	9768.760333
GI_11496979-S	2597.623
GI_11496989-S	10011.86367
GI_11641410-A	1955.727
GI_12408643-A	1595.482333
GI_12408650-S	9850.144667
GI_12408657-A	685.167
GI_12545405-A	4751.376
GI_12669910-S	2177.491667
GI_12669913-S	2993.332667
GI_12669916-S	3329.26
GI_12719454-A	912.0376667
GI_13027797-S	6651.220333
GI_13027798-S	1997.004333
GI_13027803-S	841.111
GI_13027804-S	5918.311333
GI_13112047-A	8354.65
GI_13112049-A	3410.149667
GI_13128859-S	5951.966667
GI_13186246-A	6871.287667
GI_13186266-A	2227.659
GI_13259500-A	4214.9
GI_13259537-S	4319.195667
GI_13325053-S	1316.449667
GI_13325059-S	14322.86233
GI_13325062-S	4948.198333
GI_13376997-S	3691.464333
GI_13386511-A	2972.424667
GI_13435352-A	2568.396333
GI_13518020-A	1342.705
GI_13518031-S	4250.344333
GI_13518226-A	1666.6
GI_13540470-S	4321.020333
GI_14141149-S	12487.7165
GI_14165449-A	4417.432667
GI_14574570-S	1290.471667
GI_14589887-S	14255.96133
GI_14589947-S	9434.082667
GI_14591901-A	1789.889
GI_14670387-A	2512.170667
GI_14702166-A	3917.538333
GI_14719826-S	10907.171
GI_14790114-A	2909.398333
GI_14790185-A	3582.538
GI_14916487-A	1215.086
GI_14916495-A	1522.001
GI_15011921-S	4383.592667
GI_15011927-A	11406.64133
GI_15055544-A	1147.669667
GI_15055548-A	439.989
GI_15147344-S	5903.627667
GI_15147349-A	455.8153333
GI_15208655-A	11325.65133
GI_15451776-A	6689.188
GI_15451785-A	1615.712
GI_15451787-S	2933.652333
GI_15451788-S	10243.43633
GI_15451855-S	7070.061
GI_15451897-S	3288.6205
GI_15451899-S	424.081
GI_15718711-A	5709.697333
GI_15834616-S	2535.468333
GI_16306531-A	5730.534667
GI_16507956-S	946.011
GI_16753217-S	8569.52
GI_16905527-A	8334.565
GI_16933566-S	8093.001333
GI_16936521-S	485.9393333
GI_16936523-S	500.0713333
GI_16936529-A	4953.912
GI_16936532-A	5999.101
GI_16950653-S	1532.827
GI_16950654-S	11685.82233
GI_16950656-S	3785.525333
GI_16950657-S	3433.806
GI_16950658-S	4300.271333
GI_16950659-S	7335.248
GI_17017983-S	6197.852667
GI_17318560-A	1259.643667
GI_17402917-S	1774.793333
GI_17505196-S	1613.149667
GI_17738295-A	2543.959
GI_17738313-S	6910.028667
GI_17978496-A	16379.64833
GI_17978497-S	5764.752667
GI_17981693-A	3107.39
GI_17981698-A	1631.802333
GI_17981701-A	1884.216667
GI_18104968-A	1725.890333
GI_18641367-A	8774.900667
GI_18765712-S	5556.456
GI_18765747-A	13244.75933
GI_18860850-A	5269.176
GI_18860895-A	10782.307
GI_18860897-S	5934.706667
GI_19482173-S	4860.457333
GI_19528651-A	1976.306
GI_19718775-S	10515.47167
GI_19743818-A	20774.49567
GI_19743853-A	15169.72467
GI_19913404-S	8869.605333
GI_19913405-S	3735.873333
GI_19923110-S	8231.63
GI_19923111-S	10641.979
GI_19923154-S	1028.304667
GI_19923162-S	3118.751667
GI_19923194-S	7910.011
GI_19923222-S	6105.499333
GI_19923309-S	516.8743333
GI_19923366-S	9214.969
GI_19924130-A	8117.892
GI_19924134-A	2153.395333
GI_19924136-S	1167.646667
GI_19924137-S	9499.765
GI_19924164-S	657.25
GI_19924171-S	4241.232333
GI_19924298-S	8258.928
GI_20070134-S	1580.780333
GI_20070172-S	12318.86433
GI_20070217-S	8163.425
GI_20127410-S	14406.499
GI_20127419-S	953.993
GI_20127459-S	4063.376667
GI_20127471-S	8217.098667
GI_20127489-S	6223.741333
GI_20127497-S	1612.0865
GI_20143929-A	1079.758
GI_20143951-A	4390.891
GI_20149501-S	6049.221667
GI_20336200-A	1432.904333
GI_20336230-A	1487.981
GI_20336333-A	8379.983333
GI_20336471-S	17365.43267
GI_20357555-A	9765.279
GI_20428651-S	2140.383667
GI_20986507-A	9276.420667
GI_20986513-A	4255.048
GI_21040323-A	10323.081
GI_21071041-S	5657.053333
GI_21071042-S	1664.474667
GI_21071055-S	11834.80333
GI_21237762-S	20411.90433
GI_21322251-S	9327.750333
GI_21359903-S	5299.929333
GI_21361085-S	1969.500667
GI_21361115-S	3861.749333
GI_21361192-S	12735.35167
GI_21361206-S	4202.7
GI_21361291-S	10027.768
GI_21361305-S	1467.902333
GI_21361613-S	8667.061667
