Reporter Identifier	VALUE
EDNRA-Yu-S	4140.233667
GI_10938013-S	19232.80567
GI_33457353-S	1582.988667
GI_4507456-S	3851.929333
GI_5174574-S	15910.187
sarroybu-S	1713.943
1557685_at-S	850.6076667
1560225_at-S	791.537
1561073_at-S	5629.551667
213310_at-S	2715.515333
214174_s_at-S	712.246
214384_s_at-S	2019.723333
216584_at-S	3563.468
225311_at-S	6194.267333
228178_s_at-S	1043.654
228687_at-S	711.229
228798_x_at-S	745.76
229455_at-S	5118.630667
231181_at-S	773.8925
231651_at-S	772.624
233424_at-S	702.9953333
235196_at-S	6797.118333
236338_at-S	8824.161333
236472_at-S	4251.117
240093_x_at-S	1247.2685
240236_at-S	741.5813333
240543_at-S	3534.392333
241944_x_at-S	2775.795
242763_at-S	795.974
243636_s_at-S	4316.485
244579_at-S	3157.097667
AA621488-Yu-S	3372.652333
AF119310-S	1332.1525
AFF4-Yu-S	6592.814
AI015000-Yu-S	654.3066667
AI017592-Yu-S	424.372
AI288607-Yu-S	943.6706667
AI431618-Yu-S	10202.33167
AI767512-Yu-S	875.9423333
AI791860-S	12548.19867
AI821573-Yu-S	547.6473333
ANK3-Glinsky-S	8332.982667
AW014022-S	1372.358
AW572379-S	3761.595
BE144297-S	1166.898
BENE-Singh-S	3780.733667
BUB1-Glinsky-S	1239.506333
BX096646-Yu-S	2630.375667
C2orf33-Yu-S	4309.953667
CCNB1-Glinsky-S	1243.918
CD4-Yu-S	2223.519667
CDS2-Glinsky-S	2906.518333
CHAF1A-Glinsky-S	3958.281333
CHGA-Singh-S	1559.953667
COL1A2-Singh-S	16255.01533
COMMD5-S	1025.133
CV364590-S	498.4215
DNAJB1-Yu-S	7379.2
EDG7.a-S	8958.315
ERG_SV-S	16003.42
ETV4_X-S	624.3493333
FGFR2-Glinsky-S	2922.287667
FLJ12193-S	1150.599333
FLJ36036-S	593.5333333
FOS-Glinsky-S	29903.51867
GBL-Yu-S	2028.710667
GBX2-Glinsky-S	353.1136667
GDEP-S	3454.213
GI_10346134-S	2781.165
GI_10518500-S	4385.222
GI_10835012-S	564.4846667
GI_11056009-S	409.772
GI_11496986-S	9344.502
GI_11612673-A	6146.607667
GI_12232472-S	4686.832
GI_12751492-S	1480.305333
GI_13124878-A	25471.437
GI_13259521-A	6073.208333
GI_13376207-S	2873.402333
GI_13376700-S	4855.213
GI_13514821-A	7027.099667
GI_13569888-S	3894.263667
GI_13699817-S	1120.3295
GI_13876385-S	2830.636667
GI_13904863-S	1658.158
GI_13994357-S	1209.978333
GI_14150117-S	7825.460667
GI_14249567-S	3299.862
GI_14589853-A	6514.051
GI_14589875-A	3203.607333
GI_14602458-S	18723.587
GI_14916436-S	12097.43433
GI_15022798-S	2424.471
GI_15147331-S	3531.823333
GI_16554596-A	7977.422333
GI_17158040-A	4227.268667
GI_17318577-S	4520.83
GI_17402908-A	2510.334667
GI_17978511-A	5363.721667
GI_17981703-S	1424.405333
GI_18034691-A	3958.743667
GI_18087810-S	2466.509
GI_18087824-S	389.0456667
GI_18375500-A	11583.06967
GI_18375636-A	2673.950667
GI_18426896-A	29218.098
GI_18490999-A	1237.793333
GI_18860908-S	981.6253333
GI_18860911-A	2316.059
GI_19718752-S	2427.49
GI_19743807-S	4878.126333
GI_19743913-A	5484.731667
GI_19747284-S	5652.239667
GI_19923214-S	5374.733333
GI_19923273-A	4042.694
GI_19923288-S	901.7336667
GI_19923318-S	1535.551
GI_19923351-S	14945.96167
GI_19923725-S	3900.132333
GI_20070229-S	2412.769667
GI_20070271-S	10870.35933
GI_20143931-S	1307.754333
GI_20149638-S	2004.991
GI_20302157-A	29663.868
GI_20357509-A	2340.749667
GI_20357526-S	11293.315
GI_20357564-S	15880.55567
GI_20357590-S	3022.075
GI_21237801-S	10539.85067
GI_21264603-S	4178.781667
GI_21314674-S	2614.725
GI_21361681-S	13549.11767
GI_21361690-S	10970.32
GI_21361703-S	2859.009333
GI_21361830-S	5382.733667
GI_21361852-S	2412.967
GI_21389474-S	5312.86
GI_21389524-S	2014.799333
GI_21389576-S	1649.289333
GI_21536368-A	1506.592
GI_21536420-A	968.4233333
GI_21536453-S	5835.697
GI_21717806-S	1495.158
GI_21735624-A	13308.529
GI_21956644-S	6772.175
GI_22027487-S	9288.4195
GI_22095338-S	1689.615
GI_22212932-A	5549.518333
GI_22538477-A	2233.557667
GI_22547111-S	1159.78
GI_22547122-S	1780.849
GI_22547142-A	8866.064333
GI_23199988-S	5901.354
GI_23238206-S	2647.247667
GI_23510382-A	2612.765667
GI_23510426-A	2533.005
GI_24041025-S	2302.183667
GI_24234714-S	21457.696
GI_24430189-S	6683.239667
GI_24432041-S	3747.829
GI_24497542-A	2586.864
GI_24497617-S	3198.738667
GI_24497622-S	4565.792333
GI_24797084-S	10914.69467
GI_24797096-A	2772.609333
GI_25092600-S	7177.323667
GI_25777723-A	1571.014667
GI_27262625-A	1991.395333
GI_27502380-A	7095.777
GI_27734806-S	2945.009667
GI_27735148-S	2674.257667
GI_27764881-S	1487.775667
GI_27765097-A	2397.455333
GI_27894345-A	14016.228
GI_28274700-S	6603.886667
GI_28373079-S	1626.951667
GI_28875783-S	707.546
GI_28875796-S	5709.329333
GI_29171733-S	5472.794
GI_29550837-A	25473.824
GI_29570779-S	6139.466667
GI_29789372-S	7466.926
GI_30023852-S	2480.831667
GI_30089963-S	1215.956667
GI_30089965-S	3607.682
GI_30795246-S	2052.223
GI_31317227-S	4746.524667
GI_31317248-A	869.17
GI_31542689-S	5692.619667
GI_31542782-S	2758.094333
GI_31542866-S	7021.170333
GI_31543061-S	3663.505333
GI_31543092-S	5233.113
GI_31543141-S	944.847
GI_31543409-S	6669.513667
GI_31543629-S	1518.028667
GI_31742480-A	13666.47833
GI_32401423-S	8971.399
GI_32483415-S	1840.465
GI_32698699-S	2775.734667
GI_33469967-A	7275.031333
GI_33519445-A	7368.426667
GI_33598925-S	8658.959333
GI_33620748-S	3924.118
GI_33695154-A	7007.170667
GI_34147546-S	2432.26
GI_34147602-S	2373.479667
GI_34147623-S	8051.105
GI_34147678-S	5450.555667
GI_34147690-S	845.4576667
GI_34147722-S	1959.84
GI_34222118-S	708.115
GI_34222227-S	1000.985
GI_34222261-S	14485.224
GI_34222336-S	4484.160333
GI_34222364-S	7034.004333
GI_34304351-S	12459.455
GI_34328934-S	5029.684
GI_34734061-A	7600.978
GI_35038527-S	3576.098
GI_35038563-S	2008.764
GI_37537703-A	3197.137
GI_37577125-A	2550.292667
GI_37655182-S	18047.874
GI_37675281-S	2847.217667
GI_37704380-S	23519.04633
GI_38027922-S	3731.448
GI_38045935-S	914.1826667
GI_38157985-A	2626.103333
GI_38201689-S	3122.508333
GI_38202206-S	3631.127667
GI_38202210-S	3918.097667
GI_38202220-A	1224.636333
GI_38257140-S	4207.451667
GI_38327565-A	1583.409667
GI_38372939-S	20105.24133
GI_38454325-S	2552.854667
GI_38505179-I	1088.091667
GI_38569481-S	11416.20567
GI_38679896-S	2928.116
GI_38679966-A	15197.89167
GI_38788154-A	610.2043333
GI_38788307-S	2500.462
GI_39653320-A	9828.574667
GI_39725673-S	7306.575333
GI_39725694-S	1931.918
GI_39777596-A	5821.121333
GI_39812446-S	2887.501333
GI_40217807-S	12309.054
GI_40217844-S	6727.530667
GI_40254430-S	1229.037
GI_40254459-S	8046.118
GI_40254817-S	6481.317333
GI_40254828-S	2711.557333
GI_40255128-S	4162.508667
GI_40255195-S	3129.051667
GI_40316938-A	4951.272
GI_40317625-S	7304.056333
GI_40354199-S	1128.275333
GI_40538797-S	6173.188333
GI_40548385-S	7270.869667
GI_40805850-A	964.7293333
GI_40805859-A	3673.400333
GI_40806204-S	4472.137667
GI_40807455-S	8538.250333
GI_41146806-S	751.3583333
GI_41281370-S	9199.557
GI_41281517-S	4398.567667
GI_41327737-I	6794.805667
GI_41350200-S	2249.657
GI_41393571-S	5541.390333
GI_41393592-S	2308.977333
GI_41872473-S	2792.068667
GI_41872499-A	2156.983
GI_41872630-S	12802.33633
GI_42476152-S	7318.652667
GI_42476153-S	4505.292
GI_42476163-S	3182.996333
GI_42476323-S	8423.164333
GI_42544124-A	5304.0575
GI_42560249-A	1523.598333
GI_42714656-A	1265.948667
GI_42716292-S	4783.753333
GI_42734437-S	6107.576667
GI_42740906-A	10375.63467
GI_42741654-S	1573.132667
GI_42794624-A	22807.26467
GI_44829053-S	3070.978333
GI_44890066-S	8412.372667
GI_4502094-S	3818.827
GI_4502680-S	2779.542667
GI_4503760-S	2167.767333
GI_4504038-S	888.6033333
GI_4504184-S	10429.23533
GI_4504222-S	10717.11167
GI_4504482-S	3007.579
GI_4504504-S	5236.877667
GI_4504736-S	1771.069333
GI_4504788-S	623.022
GI_4505058-S	15152.27967
GI_4506866-S	6074.838667
GI_4507544-S	3289.174667
GI_4507908-S	1300.366333
GI_4508034-S	5101.143667
GI_45359857-I	6119.792
GI_45439310-A	3771.096
GI_45439361-S	7230.904333
GI_45504379-S	5127.783667
GI_4557009-S	2710.177333
GI_4557314-S	5278.033333
GI_4557546-A	1727.718333
GI_4557642-S	3388.433333
GI_4557650-S	2614.963333
GI_4557764-S	2802.740667
GI_45594239-S	1640.352667
GI_45827730-A	3092.693667
GI_46049109-A	10084.50867
GI_46094080-S	6385.548667
GI_46255021-A	10999.969
GI_46409631-S	1141.834667
GI_46430498-S	4439.832
GI_47078291-S	833.087
GI_47132559-A	13385.74867
GI_47419933-S	9982.708333
GI_4758397-A	11025.68333
GI_4758935-S	8935.110667
GI_4758943-S	14998.652
GI_4759029-S	937.0873333
GI_47834319-S	2559.29
GI_48255934-I	4912.665
GI_48762945-S	17040.40633
GI_4885280-S	5325.327
GI_4885390-S	1201.703
GI_48928049-A	4264.556333
GI_49472824-S	1046.345667
GI_49574524-S	2039.915
GI_49574531-S	4762.44
GI_4996892-S	3499.878333
