Reporter Identifier	VALUE
EDNRA-Yu-S	6027.965
GI_10938013-S	15686.58533
GI_33457353-S	2149.382
GI_4507456-S	3574.461333
GI_5174574-S	13930.283
sarroybu-S	1807.521667
1557685_at-S	791.8053333
1560225_at-S	1219.117
1561073_at-S	6972.961
213310_at-S	3130.647333
214174_s_at-S	414.566
214384_s_at-S	2457.844333
216584_at-S	3103.7585
225311_at-S	5704.995
228178_s_at-S	626.978
228687_at-S	458.357
228798_x_at-S	865.3865
229455_at-S	3882.272667
231181_at-S	888.914
231651_at-S	1183.814667
233424_at-S	509.9763333
235196_at-S	7276.582333
236338_at-S	7860.167667
236472_at-S	4576.572333
240093_x_at-S	1521.119
240236_at-S	974.3756667
240543_at-S	2715.606333
241944_x_at-S	2652.092667
242763_at-S	717.032
243636_s_at-S	3105.486333
244579_at-S	4855.317333
AA621488-Yu-S	2968.911667
AF119310-S	463.491
AFF4-Yu-S	8922.448
AI015000-Yu-S	679.6136667
AI017592-Yu-S	373.496
AI288607-Yu-S	676.3776667
AI431618-Yu-S	9289.372333
AI767512-Yu-S	620.949
AI791860-S	13960.287
AI821573-Yu-S	691.762
ANK3-Glinsky-S	7440.090333
AW014022-S	1397.740333
AW572379-S	1739.250667
BE144297-S	633.9916667
BENE-Singh-S	3599.508333
BUB1-Glinsky-S	883.266
BX096646-Yu-S	3750.522333
C2orf33-Yu-S	3844.504667
CCNB1-Glinsky-S	888.568
CD4-Yu-S	3974.771333
CDS2-Glinsky-S	2982.324333
CHAF1A-Glinsky-S	3858.980667
CHGA-Singh-S	3096.036
COL1A2-Singh-S	15318.56267
COMMD5-S	668.612
CV364590-S	409.7595
DNAJB1-Yu-S	10443.54133
EDG7.a-S	6098.776
ERG_SV-S	13214.06967
ETV4_X-S	680.4716667
FGFR2-Glinsky-S	3942.362667
FLJ12193-S	1331.424667
FLJ36036-S	412.6936667
FOS-Glinsky-S	24580.34167
GBL-Yu-S	1727.737667
GBX2-Glinsky-S	375.957
GDEP-S	1315.428667
GI_10346134-S	3888.490333
GI_10518500-S	3241.464
GI_10835012-S	1744.914667
GI_11056009-S	404.0916667
GI_11496986-S	9694.588333
GI_11612673-A	5587.524333
GI_12232472-S	4668.998333
GI_12751492-S	1416.429667
GI_13124878-A	24312.392
GI_13259521-A	7483.616667
GI_13376207-S	2502.756667
GI_13376700-S	5595.712
GI_13514821-A	7834.688333
GI_13569888-S	3218.186
GI_13699817-S	1091.3165
GI_13876385-S	1698.721333
GI_13904863-S	2134.961
GI_13994357-S	1035.266
GI_14150117-S	5087.109
GI_14249567-S	4043.212
GI_14589853-A	7032.145
GI_14589875-A	3679.326333
GI_14602458-S	17316.46033
GI_14916436-S	11785.728
GI_15022798-S	3546.999667
GI_15147331-S	4300.871667
GI_16554596-A	6839.061333
GI_17158040-A	3831.339333
GI_17318577-S	4973.267667
GI_17402908-A	2597.700333
GI_17978511-A	5079.953333
GI_17981703-S	1173.757333
GI_18034691-A	4312.820333
GI_18087810-S	2214.727
GI_18087824-S	462.2653333
GI_18375500-A	9757.052667
GI_18375636-A	2910.611333
GI_18426896-A	22941.34233
GI_18490999-A	1287.236333
GI_18860908-S	1697.653
GI_18860911-A	3825.096
GI_19718752-S	2152.513333
GI_19743807-S	3667.637667
GI_19743913-A	3989.557333
GI_19747284-S	8955.886667
GI_19923214-S	6416.795667
GI_19923273-A	2786.287667
GI_19923288-S	2053.703667
GI_19923318-S	1386.472333
GI_19923351-S	15202.87367
GI_19923725-S	3505.058
GI_20070229-S	2603.592667
GI_20070271-S	9732.721
GI_20143931-S	854.929
